'schluessel','lfdnr','baumnr','ortsteil','plz','strasse','hausnr','xkoord','ykoord','l_geogr','b_geogr','bsgroesse','baumartbot','baumartdt','buegel','buegelerf','bsmulch','bssplitt','bserw','bsfraesen','material','bemerk','status','id','version','pflanzp','spendenstatus','reserviert_bis'
'0312H034','34',' 6/2 - 0006','Prenzlauer Berg','10439','Driesener Straße','6','24913.35','25098.67',13.405748774799999268,52.551066621300002168,'2','Magnolia kobus','Kobushi-Magnolie','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',633,0,1,'',NULL
'0312H035','35',' 50/1 - 5127','Prenzlauer Berg','10437','Gleimstraße','50','24464.49','25060.08',13.405194126999999682,52.547030628199998148,'6','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',634,0,1,'',NULL
'0312H036','36',' 50/2 - 5133','Prenzlauer Berg','10437','Gleimstraße','50','24462.74','25046.93',13.405002539299999853,52.547021283200002983,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',635,0,1,'',NULL
'0312H037','37',' 50/3 - 5122','Prenzlauer Berg','10437','Gleimstraße','50','24461.40','25038.11',13.404869960999999279,52.547003061899999921,'6','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',636,0,1,'',NULL
'0312H038','38',' 50/4 - 5140','Prenzlauer Berg','10437','Gleimstraße','50','24460.01','25028.51',13.404737337500000294,52.546993826899999647,'2,5','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',637,0,1,'',NULL
'0312H039','39',' 51/3 - 5123','Prenzlauer Berg','10437','Gleimstraße','51','24456.92','25007.92',13.404427912999999251,52.546966287099998283,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',638,0,1,'',NULL
'0312H040','40',' 52/3 - 5115','Prenzlauer Berg','10437','Gleimstraße','52','24454.89','24993.93',13.404221630300000356,52.546947926800001483,'3','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',639,0,1,'',NULL
'0312H041','41',' 54/1 - 5131','Prenzlauer Berg','10437','Gleimstraße','54','24449.90','24960.69',13.403735406099999139,52.546902079900000615,'4','Acer rubrum','Rot-Ahorn','','2','','x','','','','','GEPFLANZT',640,0,1,'',NULL
'0312H042','42',' 3/3 - 0011','Prenzlauer Berg','10439','Gotlandstraße','3','25320.72','25460.36',13.411052799900000210,52.554742901399997379,'2','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',641,0,1,'',NULL
'0312H043','43',' 4/2 - 0004','Prenzlauer Berg','10439','Gotlandstraße','4','25305.79','25472.43',13.411230382699999453,52.554608426599997983,'2,5','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',642,0,1,'',NULL
'0312H044','44',' 5/3 - 0028','Prenzlauer Berg','10439','Gotlandstraße','5','25342.04','25462.58',13.411096106200000477,52.554931697400000701,'4','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','','GEPFLANZT',643,0,1,'',NULL
'0312H045','45',' 7/2 - 0029','Prenzlauer Berg','10439','Gotlandstraße','7','25360.84','25464.61',13.411124757199999635,52.555102493699997979,'4','Tilia cordata \" Greenspire\"','Winterlinde','','2','','x','','2','','','GEPFLANZT',644,0,1,'',NULL
'0312H046','46',' 15/2 - 0071','Prenzlauer Berg','10439','Gudvanger Straße','15','24757.61','26349.00',13.424183126699999136,52.549706655100003161,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','','GEPFLANZT',645,0,1,'',NULL
'0312H047','47',' 21/1 - 0029','Prenzlauer Berg','10439','Gudvanger Straße','21','24786.08','26368.60',13.424476808799999716,52.549958779800000741,'4','Prunus serrul.\"Amanogawa\"','Säulen-Zierkirsche','','2','','x','','2','','Stubben sichtbar','GEPFLANZT',646,0,1,'',NULL
